Block,Subplot,LegacySpp,year,planting,weeding,ACHMIL,ERISPE,GAIARI,LINLEW,PENSTR,BOUGRA,ELYELY,KOEMAC,PSESPE,BROTEC,CENSTO,EUPESU,POTREC,original_legacy_cover,new_legacy_cover,exotic_grass_other,exotic_forb_other,native_grass_other ,native_forb_other,bare_ground,litter,exotic_other_total,exotic_total
4,A,POTREC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,1,5
4,B,POTREC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,10,15
4,C,POTREC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,5,5
4,D,POTREC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,10,15
4,A,BROTEC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,10,40
4,B,BROTEC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,20,70
4,C,BROTEC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,75,0,NA,NA,NA,NA,NA,NA,5,80
4,D,BROTEC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,85,0,NA,NA,NA,NA,NA,NA,5,90
5,A,POTREC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,15,25
5,B,POTREC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,10,20
5,C,POTREC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,NA,NA,NA,NA,NA,NA,15,20
5,D,POTREC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,20,30
5,A,BROTEC,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,15,0,NA,NA,NA,NA,NA,NA,20,35
5,B,BROTEC,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,15,35
5,C,BROTEC,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,25,0,NA,NA,NA,NA,NA,NA,15,40
5,D,BROTEC,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,35,0,NA,NA,NA,NA,NA,NA,20,55
5,A,EUPESU,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,0,NA,NA,NA,NA,NA,NA,65,80
5,B,EUPESU,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,0,NA,NA,NA,NA,NA,NA,65,85
5,C,EUPESU,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,0,NA,NA,NA,NA,NA,NA,35,60
5,D,EUPESU,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,0,NA,NA,NA,NA,NA,NA,70,80
5,A,Native,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40,40
5,B,Native,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30,30
5,C,Native,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35,35
5,D,Native,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40,40
5,A,CENSTO,2022,T,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,55,60
5,B,CENSTO,2022,T,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,0,NA,NA,NA,NA,NA,NA,45,50
5,C,CENSTO,2022,S,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,15,15
5,D,CENSTO,2022,S,W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35,35
1,A,CENSTO,2023,S,W,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,0,0
1,B,CENSTO,2023,S,C,0,0,0,0,0.1,0,0,0,1,1,1,0,0,1,1,1,70,0,0,5,45,71,73
1,C,CENSTO,2023,T,W,5,0,5,15,35,1,1,5,10,0,0,0,0,0,0,0,0,0,0,20,5,0,0
1,D,CENSTO,2023,T,C,0,0,0,1,1,0,0,1,5,10,10,1,0,10,11,1,10,0,0,1,20,11,32
1,A,BROTEC,2023,T,C,5,1,1,1,5,1,5,5,5,10,0,0,0,10,0,0,80,0,0,5,10,80,90
1,B,BROTEC,2023,T,W,10,1,10,1,15,1,5,1,10,0,0,0,0,0,0,0,0,0,0,45,5,0,0
1,C,BROTEC,2023,S,W,0,0,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,85,0,0
1,D,BROTEC,2023,S,C,0.1,0,0,0,0,0,0,0,0,10,0,1,0,10,1,15,10,0,35,15,25,25,36
1,A,POTREC,2023,S,C,0,0,0,0,1,1,0,0,1,30,0,0,1,1,30,0,20,0,10,15,35,20,51
